feature,importance,observed_train_fraction
x_+1_center_dy_norm,0.016416221857070923,1.0
x_+1_right_height_norm,0.014708957634866238,1.0
x_-1_center_dy_norm,0.014243549667298794,1.0
x_+1_left_height_norm,0.011745850555598736,1.0
x_-2_right_height_norm,0.01110757328569889,1.0
x_-1_left_height_norm,0.01096596010029316,1.0
x_+2_center_dx_norm,0.010671332478523254,1.0
x_-13_center_dy_norm,0.010213789530098438,0.07009784211231739
x_-1_center_dx_norm,0.00977517943829298,1.0
x_-1_right_height_norm,0.0092734694480896,1.0
x_+2_left_height_norm,0.009245850145816803,1.0
x_+9_right_height_norm,0.009233220480382442,0.33373542420587055
x_+3_right_height_norm,0.009148669429123402,0.8802439351293392
x_-8_orientation_relative_deg,0.008886932395398617,0.41582897734888086
x_+2_center_dy_norm,0.008628733456134796,1.0
x_+4_right_height_norm,0.008388517424464226,0.7825358531028013
x_+2_right_height_norm,0.008063393644988537,1.0
x_-13_right_height_norm,0.008037262596189976,0.07009784211231739
x_+3_left_height_norm,0.007928706705570221,0.8802439351293392
x_+3_center_dy_norm,0.007865458726882935,0.8802439351293392
x_-2_center_dx_norm,0.007641441188752651,1.0
x_+1_center_dx_norm,0.007498589809983969,1.0
x_-2_center_dy_norm,0.007476023864001036,1.0
x_+5_left_height_norm,0.007463183254003525,0.6863691194209891
x_-2_left_height_norm,0.007426319178193808,1.0
x_+12_superior_width_norm,0.00731789693236351,0.12310682214180405
x_+7_right_height_norm,0.007187712471932173,0.5020774695081088
x_-5_orientation_relative_deg,0.007173800840973854,0.6863691194209891
x_-6_orientation_relative_deg,0.007104901596903801,0.5924138855381316
x_-13_superior_width_norm,0.007002272643148899,0.07009784211231739
x_+5_right_height_norm,0.006876789499074221,0.6863691194209891
x_+3_center_dx_norm,0.006838569883257151,0.8802439351293392
x_+4_center_dy_norm,0.006783421617001295,0.7825358531028013
x_+7_left_height_norm,0.006775493733584881,0.5020774695081088
x_+13_center_dy_norm,0.006764182820916176,0.07009784211231739
x_-11_center_dy_norm,0.006488621700555086,0.186436134566412
x_-7_inferior_width_norm,0.006432514637708664,0.5020774695081088
x_-9_left_height_norm,0.006383182015269995,0.33373542420587055
x_-3_center_dx_norm,0.006369992159307003,0.8802439351293392
x_-13_inferior_width_norm,0.006354069337248802,0.07009784211231739
x_-5_inferior_width_norm,0.006342409644275904,0.6863691194209891
x_-13_left_height_norm,0.006293128710240126,0.07009784211231739
x_+6_center_dy_norm,0.00610513286665082,0.5924138855381316
x_-6_center_dy_norm,0.0060555157251656055,0.5924138855381316
x_-10_left_height_norm,0.0060267215594649315,0.2570700978421123
x_-4_center_dy_norm,0.0060144588351249695,0.7825358531028013
x_-6_right_height_norm,0.005913523491472006,0.5924138855381316
x_+9_center_dy_norm,0.005894285161048174,0.33373542420587055
x_-11_orientation_relative_deg,0.005847323685884476,0.186436134566412
x_-3_center_dy_norm,0.005839492194354534,0.8802439351293392
x_+12_center_dy_norm,0.0058356584049761295,0.12310682214180405
x_-4_inferior_width_norm,0.0058165076188743114,0.7825358531028013
x_-4_orientation_relative_deg,0.005760161206126213,0.7825358531028013
x_-11_center_dx_norm,0.005754024256020784,0.186436134566412
x_-6_inferior_width_norm,0.005707076285034418,0.5924138855381316
x_+10_center_dy_norm,0.0056732892990112305,0.2570700978421123
x_+10_superior_width_norm,0.0056404671631753445,0.2570700978421123
x_-3_inferior_width_norm,0.005624012090265751,0.8802439351293392
x_-2_inferior_width_norm,0.005608811043202877,1.0
x_-7_superior_width_norm,0.005603286437690258,0.5020774695081088
x_-5_center_dy_norm,0.005601081065833569,0.6863691194209891
x_+3_inferior_width_norm,0.005582255311310291,0.8802439351293392
x_-10_superior_width_norm,0.005565943196415901,0.2570700978421123
x_+11_superior_width_norm,0.005537146236747503,0.186436134566412
x_-7_right_height_norm,0.0055107492953538895,0.5020774695081088
x_-12_inferior_width_norm,0.005487015936523676,0.12310682214180405
x_-5_right_height_norm,0.005479412619024515,0.6863691194209891
x_-10_orientation_relative_deg,0.005443802569061518,0.2570700978421123
x_+6_orientation_relative_deg,0.005364489275962114,0.5924138855381316
x_+1_superior_width_norm,0.00536382244899869,1.0
x_+4_center_dx_norm,0.005360351875424385,0.7825358531028013
x_-8_center_dx_norm,0.005324678495526314,0.41582897734888086
x_+11_right_height_norm,0.005293480586260557,0.186436134566412
x_+5_center_dx_norm,0.005291038658469915,0.6863691194209891
x_+11_left_height_norm,0.005275891162455082,0.186436134566412
x_-7_orientation_relative_deg,0.005228816997259855,0.5020774695081088
x_+5_center_dy_norm,0.005210020113736391,0.6863691194209891
x_+9_orientation_relative_deg,0.005204536020755768,0.33373542420587055
x_-1_superior_width_norm,0.005186229012906551,1.0
x_+4_superior_width_norm,0.0051835705526173115,0.7825358531028013
x_+7_center_dy_norm,0.005178143735975027,0.5020774695081088
x_-6_center_dx_norm,0.005169533658772707,0.5924138855381316
x_-8_center_dy_norm,0.005160992033779621,0.41582897734888086
x_-5_superior_width_norm,0.005148654337972403,0.6863691194209891
x_-12_left_height_norm,0.00513750733807683,0.12310682214180405
x_-2_orientation_relative_deg,0.005118908826261759,1.0
x_+3_orientation_relative_deg,0.005102892871946096,0.8802439351293392
x_-12_center_dy_norm,0.005078415386378765,0.12310682214180405
x_+6_right_height_norm,0.004990565590560436,0.5924138855381316
x_+2_orientation_relative_deg,0.004976459313184023,1.0
x_-5_left_height_norm,0.004974037874490023,0.6863691194209891
x_-5_center_dx_norm,0.004950309172272682,0.6863691194209891
x_+8_right_height_norm,0.004926736932247877,0.41582897734888086
x_-3_orientation_relative_deg,0.004926441702991724,0.8802439351293392
x_+1_orientation_relative_deg,0.004850747995078564,1.0
x_+4_inferior_width_norm,0.00483106542378664,0.7825358531028013
x_+5_inferior_width_norm,0.004818388260900974,0.6863691194209891
x_+7_inferior_width_norm,0.00477777561172843,0.5020774695081088
x_+5_orientation_relative_deg,0.004765139427036047,0.6863691194209891
x_+8_center_dx_norm,0.004751851316541433,0.41582897734888086
x_-3_left_height_norm,0.004751215688884258,0.8802439351293392
x_+9_inferior_width_norm,0.00474575674161315,0.33373542420587055
x_+8_left_height_norm,0.004740180913358927,0.41582897734888086
x_-1_orientation_relative_deg,0.004723954480141401,1.0
x_+8_center_dy_norm,0.004690778441727161,0.41582897734888086
x_-6_left_height_norm,0.0046709622256457806,0.5924138855381316
x_+11_center_dy_norm,0.0046683368273079395,0.186436134566412
x_+6_inferior_width_norm,0.004634832497686148,0.5924138855381316
x_-13_orientation_relative_deg,0.004620488733053207,0.07009784211231739
x_+2_superior_width_norm,0.004618391394615173,1.0
x_-10_center_dy_norm,0.004616745747625828,0.2570700978421123
x_+9_left_height_norm,0.004607283975929022,0.33373542420587055
x_+4_left_height_norm,0.004599513486027718,0.7825358531028013
x_-7_center_dx_norm,0.004585957154631615,0.5020774695081088
x_+10_center_dx_norm,0.004550343379378319,0.2570700978421123
x_+8_orientation_relative_deg,0.004546205047518015,0.41582897734888086
x_-4_center_dx_norm,0.00453905900940299,0.7825358531028013
x_+6_center_dx_norm,0.004520128481090069,0.5924138855381316
x_+3_superior_width_norm,0.004517596680670977,0.8802439351293392
x_-11_left_height_norm,0.004504818003624678,0.186436134566412
x_+8_inferior_width_norm,0.004496690351516008,0.41582897734888086
x_+10_right_height_norm,0.004494383931159973,0.2570700978421123
