output,feature,importance
left_height,x_m2_left_height_norm,0.027856461703777313
left_height,x_m2_right_height_norm,0.03465795889496803
left_height,x_m2_superior_width_norm,0.02087380737066269
left_height,x_m2_inferior_width_norm,0.024782819673419
left_height,x_m2_orientation_relative_deg,0.025547005236148834
left_height,x_m2_center_dx_norm,0.031300000846385956
left_height,x_m2_center_dy_norm,0.030573811382055283
left_height,x_m1_left_height_norm,0.06231333687901497
left_height,x_m1_right_height_norm,0.026569096371531487
left_height,x_m1_superior_width_norm,0.022568758577108383
left_height,x_m1_inferior_width_norm,0.02343777008354664
left_height,x_m1_orientation_relative_deg,0.045383188873529434
left_height,x_m1_center_dx_norm,0.040719542652368546
left_height,x_m1_center_dy_norm,0.061445970088243484
left_height,x_p1_left_height_norm,0.07173112034797668
left_height,x_p1_right_height_norm,0.029453828930854797
left_height,x_p1_superior_width_norm,0.023278195410966873
left_height,x_p1_inferior_width_norm,0.021863415837287903
left_height,x_p1_orientation_relative_deg,0.04981628805398941
left_height,x_p1_center_dx_norm,0.0360042005777359
left_height,x_p1_center_dy_norm,0.07164890319108963
left_height,x_p2_left_height_norm,0.03226097300648689
left_height,x_p2_right_height_norm,0.033128440380096436
left_height,x_p2_superior_width_norm,0.02306399680674076
left_height,x_p2_inferior_width_norm,0.020261073485016823
left_height,x_p2_orientation_relative_deg,0.031804297119379044
left_height,x_p2_center_dx_norm,0.04200588911771774
left_height,x_p2_center_dy_norm,0.0356498546898365
right_height,x_m2_left_height_norm,0.0261519905179739
right_height,x_m2_right_height_norm,0.044552452862262726
right_height,x_m2_superior_width_norm,0.024004006758332253
right_height,x_m2_inferior_width_norm,0.02640068531036377
right_height,x_m2_orientation_relative_deg,0.03059110790491104
right_height,x_m2_center_dx_norm,0.03093184158205986
right_height,x_m2_center_dy_norm,0.03086775168776512
right_height,x_m1_left_height_norm,0.029194310307502747
right_height,x_m1_right_height_norm,0.053491320461034775
right_height,x_m1_superior_width_norm,0.028447359800338745
right_height,x_m1_inferior_width_norm,0.021125037223100662
right_height,x_m1_orientation_relative_deg,0.0419941246509552
right_height,x_m1_center_dx_norm,0.03802584111690521
right_height,x_m1_center_dy_norm,0.06572681665420532
right_height,x_p1_left_height_norm,0.028983132913708687
right_height,x_p1_right_height_norm,0.07609262317419052
right_height,x_p1_superior_width_norm,0.02488146349787712
right_height,x_p1_inferior_width_norm,0.02307235263288021
right_height,x_p1_orientation_relative_deg,0.03966815397143364
right_height,x_p1_center_dx_norm,0.03713862597942352
right_height,x_p1_center_dy_norm,0.0664689764380455
right_height,x_p2_left_height_norm,0.034379743039608
right_height,x_p2_right_height_norm,0.02934839203953743
right_height,x_p2_superior_width_norm,0.022647054865956306
right_height,x_p2_inferior_width_norm,0.025375012308359146
right_height,x_p2_orientation_relative_deg,0.0270346999168396
right_height,x_p2_center_dx_norm,0.03702571615576744
right_height,x_p2_center_dy_norm,0.03637941554188728
superior_width,x_m2_left_height_norm,0.02363063022494316
superior_width,x_m2_right_height_norm,0.024267064407467842
superior_width,x_m2_superior_width_norm,0.03973868489265442
superior_width,x_m2_inferior_width_norm,0.028573602437973022
superior_width,x_m2_orientation_relative_deg,0.027067815884947777
superior_width,x_m2_center_dx_norm,0.03790343552827835
superior_width,x_m2_center_dy_norm,0.031226765364408493
superior_width,x_m1_left_height_norm,0.036068420857191086
superior_width,x_m1_right_height_norm,0.04262685775756836
superior_width,x_m1_superior_width_norm,0.05633830651640892
superior_width,x_m1_inferior_width_norm,0.07961618155241013
superior_width,x_m1_orientation_relative_deg,0.04206496849656105
superior_width,x_m1_center_dx_norm,0.02980702929198742
superior_width,x_m1_center_dy_norm,0.028711576014757156
superior_width,x_p1_left_height_norm,0.02335241809487343
superior_width,x_p1_right_height_norm,0.03267581760883331
superior_width,x_p1_superior_width_norm,0.053538449108600616
superior_width,x_p1_inferior_width_norm,0.039398979395627975
superior_width,x_p1_orientation_relative_deg,0.04892151430249214
superior_width,x_p1_center_dx_norm,0.02688606083393097
superior_width,x_p1_center_dy_norm,0.03009684942662716
superior_width,x_p2_left_height_norm,0.028419654816389084
superior_width,x_p2_right_height_norm,0.023879526183009148
superior_width,x_p2_superior_width_norm,0.03372788429260254
superior_width,x_p2_inferior_width_norm,0.02881052903831005
superior_width,x_p2_orientation_relative_deg,0.03468872234225273
superior_width,x_p2_center_dx_norm,0.0354994498193264
superior_width,x_p2_center_dy_norm,0.0324627086520195
inferior_width,x_m2_left_height_norm,0.03079783171415329
inferior_width,x_m2_right_height_norm,0.02887125127017498
inferior_width,x_m2_superior_width_norm,0.03867197036743164
inferior_width,x_m2_inferior_width_norm,0.03096785396337509
inferior_width,x_m2_orientation_relative_deg,0.029029086232185364
inferior_width,x_m2_center_dx_norm,0.0373932346701622
inferior_width,x_m2_center_dy_norm,0.039893098175525665
inferior_width,x_m1_left_height_norm,0.02724491059780121
inferior_width,x_m1_right_height_norm,0.03190365433692932
inferior_width,x_m1_superior_width_norm,0.037054359912872314
inferior_width,x_m1_inferior_width_norm,0.03055218979716301
inferior_width,x_m1_orientation_relative_deg,0.04107443615794182
inferior_width,x_m1_center_dx_norm,0.03415513038635254
inferior_width,x_m1_center_dy_norm,0.03786129504442215
inferior_width,x_p1_left_height_norm,0.03453287482261658
inferior_width,x_p1_right_height_norm,0.03487607464194298
inferior_width,x_p1_superior_width_norm,0.0770828127861023
inferior_width,x_p1_inferior_width_norm,0.0534554086625576
inferior_width,x_p1_orientation_relative_deg,0.04178345575928688
inferior_width,x_p1_center_dx_norm,0.03758424520492554
inferior_width,x_p1_center_dy_norm,0.03398645669221878
inferior_width,x_p2_left_height_norm,0.025636928156018257
inferior_width,x_p2_right_height_norm,0.027328962460160255
inferior_width,x_p2_superior_width_norm,0.03311290591955185
inferior_width,x_p2_inferior_width_norm,0.028200924396514893
inferior_width,x_p2_orientation_relative_deg,0.03140200302004814
inferior_width,x_p2_center_dx_norm,0.03120579570531845
inferior_width,x_p2_center_dy_norm,0.034340862184762955
orientation,x_m2_left_height_norm,0.02296897955238819
orientation,x_m2_right_height_norm,0.024087747558951378
orientation,x_m2_superior_width_norm,0.0332486666738987
orientation,x_m2_inferior_width_norm,0.02779463119804859
orientation,x_m2_orientation_relative_deg,0.04111248999834061
orientation,x_m2_center_dx_norm,0.035470038652420044
orientation,x_m2_center_dy_norm,0.03653533011674881
orientation,x_m1_left_height_norm,0.03047015890479088
orientation,x_m1_right_height_norm,0.031721245497465134
orientation,x_m1_superior_width_norm,0.023114334791898727
orientation,x_m1_inferior_width_norm,0.0365629568696022
orientation,x_m1_orientation_relative_deg,0.044363636523485184
orientation,x_m1_center_dx_norm,0.06248500943183899
orientation,x_m1_center_dy_norm,0.034601882100105286
orientation,x_p1_left_height_norm,0.02842850610613823
orientation,x_p1_right_height_norm,0.017871560528874397
orientation,x_p1_superior_width_norm,0.036140915006399155
orientation,x_p1_inferior_width_norm,0.04615307226777077
orientation,x_p1_orientation_relative_deg,0.0389607734978199
orientation,x_p1_center_dx_norm,0.07893034815788269
orientation,x_p1_center_dy_norm,0.024875881150364876
orientation,x_p2_left_height_norm,0.02217189036309719
orientation,x_p2_right_height_norm,0.023675022646784782
orientation,x_p2_superior_width_norm,0.0320853665471077
orientation,x_p2_inferior_width_norm,0.046000417321920395
orientation,x_p2_orientation_relative_deg,0.03662092983722687
orientation,x_p2_center_dx_norm,0.045547470450401306
orientation,x_p2_center_dy_norm,0.03800074756145477
