split,source_dataset,output,unit,samples,baseline_mae,model_mae,unweighted_model_mae,model_median_absolute_error,model_p90_absolute_error,model_p95_absolute_error,relative_mae_improvement_percent,baseline_mae_px,model_mae_px,model_p95_absolute_error_px
val,all,left_height,normalized,2084,0.08153408215376824,0.0699524782298532,0.0750795637331675,0.0556427568201861,0.15780960708832356,0.2016712917175826,14.204616790893468,7.737373061948099,6.458461311291387,18.861525763164988
val,all,right_height,normalized,2084,0.08230656133375681,0.07101346061316605,0.07722099387195833,0.05722542825824418,0.16483583695862783,0.21196105374041296,13.720778195066048,7.699020822980064,6.519359220409073,18.647078575750566
val,all,superior_width,normalized,2084,0.0439723500635802,0.04095654082005816,0.04488142797852195,0.03339788063205455,0.09658812018789481,0.11995587959353896,6.858421801794626,7.2536302119390905,6.822815657353997,20.529076244068573
val,all,inferior_width,normalized,2084,0.04700535342355232,0.044375425281054565,0.047468836248887425,0.03641035507031162,0.0994419214728648,0.12733216436408057,5.594954512521571,7.847521723996641,7.497603998718136,21.448678492029792
val,all,orientation,degrees,2084,2.1638843115210493,1.9121464836927655,2.2062592608130136,1.280497838201299,3.665998956110055,4.725360056765902,11.633608436826776,,,
test,all,left_height,normalized,2168,0.08630135744823679,0.07110664867253434,0.0782318632085218,0.05522673063746567,0.16824719699131896,0.21753705850301283,17.606569844299578,8.863875962321233,7.283787163288774,21.597970836472104
test,all,right_height,normalized,2168,0.08253008901386176,0.07115277469024503,0.07865507734370787,0.05777367607482631,0.16760031190883917,0.21745923314327034,13.785656188624484,8.627168207758288,7.311852265925142,22.112088076574516
test,all,superior_width,normalized,2168,0.04214787050473532,0.03965683525020282,0.04519561934949905,0.03531652350942882,0.0946693567059647,0.1194011502748827,5.910228025049649,7.441630813599601,7.0090169650492475,22.322044962642938
test,all,inferior_width,normalized,2168,0.043623067907331926,0.04141218987133564,0.04657583623306091,0.03731301160459871,0.09523609040229122,0.11818828097784737,5.068139729862274,7.804992325944032,7.513112130258024,23.113031218872433
test,all,orientation,degrees,2168,2.0617154009802494,1.8318655643170703,1.9953883123829788,1.2314478651238545,3.6176980117643973,4.7303681382456775,11.148475514801717,,,
