split,source_dataset,output,unit,samples,baseline_mae,model_mae,unweighted_model_mae,model_median_absolute_error,model_p90_absolute_error,model_p95_absolute_error,relative_mae_improvement_percent,baseline_mae_px,model_mae_px,model_p95_absolute_error_px
val,BUU AP,left_height,normalized,40,0.07501458543356884,0.053483816571525254,0.053483816571525254,0.0371783700839678,0.09098354424404458,0.12585989711935336,28.70211004646654,12.493723501728436,8.90286215043319,19.424771378832848
val,BUU AP,right_height,normalized,40,0.06424570944343214,0.049396861124160515,0.049396861124160515,0.029423725767040068,0.0843055082200308,0.132484310102584,23.11259140557226,10.676249358369123,8.391664256257615,23.583249522390556
val,BUU AP,superior_width,normalized,40,0.025060331569595466,0.024214433506055733,0.024214433506055733,0.017225841047207136,0.04944880492438703,0.07644732355344284,3.375446414946969,9.176173149972518,8.923432233227967,25.444907505391377
val,BUU AP,inferior_width,normalized,40,0.029587553182450883,0.03059659527973279,0.03059659527973279,0.025287896396751372,0.05159633704961525,0.06185310485506742,-3.410360062759074,10.704790242350342,11.090472643698856,24.304755749131424
val,BUU AP,orientation,degrees,40,1.3360824542744751,1.0990768827953694,1.0990768827953694,0.8749319453577158,2.2642852290454814,2.523382425297903,17.738843191964932,,,
val,Lumos AP,left_height,normalized,62,0.07686954991902872,0.06551719484241375,0.06858024296023453,0.053542821270104776,0.14733559918956496,0.16324889199953382,14.768338163255912,12.954693116584574,11.014313668414918,28.633410793254516
val,Lumos AP,right_height,normalized,62,0.08237364232645249,0.0664343684457324,0.07087554508163728,0.05116126509748918,0.14979840765563623,0.17102017836250857,19.349968546433374,13.917331841564799,11.026060407948659,29.271801569067335
val,Lumos AP,superior_width,normalized,62,0.042762170448580696,0.04399796620177827,0.04124148844685333,0.02745763355346724,0.09286407890009359,0.1074569149869556,-2.889927569704518,13.551965622412762,14.030936875724723,35.02493170931587
val,Lumos AP,inferior_width,normalized,62,0.0480042228012487,0.047146510859151315,0.0448375600834084,0.037805563933559404,0.10550547088161864,0.11047709925365382,1.7867426906348587,15.232259783930083,14.945229239222607,31.76366049921775
val,Lumos AP,orientation,degrees,62,1.0963953890790246,1.0520881702916245,1.0852482792446037,1.017615755423975,2.0698081158896584,2.5511760641953805,4.041171572658498,,,
val,MICCAI-2019,left_height,normalized,624,0.09147584647510597,0.08392092710650274,0.08392092710650272,0.0601984784053,0.18511620558397998,0.24203241579899726,8.258922611510574,7.746801432817998,7.089383076898524,19.574212249110882
val,MICCAI-2019,right_height,normalized,624,0.09719088469436238,0.08848276732155,0.08848276732154996,0.06651357345606229,0.1825018562544871,0.23967150254776912,8.959808731237427,8.442093986458863,7.6251698443118,19.343109921301675
val,MICCAI-2019,superior_width,normalized,624,0.049260180592177266,0.04301529371745464,0.04301529371745463,0.03225274137654319,0.09476402078500168,0.11698990342253719,12.677352782004096,7.682540076680579,6.6300898337821526,18.598573402309498
val,MICCAI-2019,inferior_width,normalized,624,0.053976290946158315,0.04799009694127827,0.04799009694127825,0.03622276127804109,0.10920153957565662,0.1380565378891846,11.090413772319616,8.38903459964295,7.3994108074465235,19.822453967860874
val,MICCAI-2019,orientation,degrees,624,2.355504099205625,1.9416750732208061,1.941675073220805,1.4993270289348288,3.9515677374306537,4.882516968139388,17.56859714760757,,,
val,Mendeley PA,left_height,normalized,1131,0.08692819455672919,0.07499495064710948,0.07499495064710947,0.05498939090514371,0.15480900608048948,0.19261845293623908,13.727702468077942,6.043891657262712,5.247783336638916,18.042346056081815
val,Mendeley PA,right_height,normalized,1131,0.08850105209795847,0.07607810366913634,0.07607810366913631,0.05594404319088486,0.1624141441989129,0.21005121972832702,14.037062988891524,6.155958362320446,5.2836699958823115,17.57688237401144
val,Mendeley PA,superior_width,normalized,1131,0.052090527923504784,0.048309327956944495,0.048309327956944474,0.03600055507290205,0.0991585157406453,0.1237023266272713,7.258901219263897,6.267876471139965,5.812131062642212,21.224302022314376
val,Mendeley PA,inferior_width,normalized,1131,0.05266248896083788,0.049358123984448075,0.04935812398444807,0.03767131192483661,0.09878816142103025,0.12717577871853938,6.2746084387448455,6.220140273165033,5.790837811833399,21.48604561472729
val,Mendeley PA,orientation,degrees,1131,2.9471770774126824,2.667994582029308,2.6679945820293067,1.313390312402376,3.8662678942444444,5.06037141726987,9.472878217024808,,,
val,NIH ChestX-ray14,left_height,normalized,227,0.060462355191078294,0.05686731802818678,0.05677768897439219,0.04748082173270277,0.1163546891350127,0.14620743926901905,5.9459098996891075,3.3632069219645073,3.161049854945646,7.373783801920702
val,NIH ChestX-ray14,right_height,normalized,227,0.06396147726255831,0.05924721186721136,0.05859388075195081,0.048168824218140435,0.12631523969220818,0.15502767566961026,7.370476100786656,3.560979599445102,3.3271741221994855,8.051236340377347
val,NIH ChestX-ray14,superior_width,normalized,227,0.03761877331921068,0.036905122422417884,0.03756807526121912,0.026303837215680408,0.08097453213766195,0.10344033313116736,1.8970605201216324,3.3742446206637933,3.299567269163768,9.04221661945259
val,NIH ChestX-ray14,inferior_width,normalized,227,0.04196929503637934,0.04092083231268726,0.040314552813006076,0.03327531934548572,0.09091834911224926,0.10637624593094996,2.498166154049674,3.8179706377291867,3.715713715708105,9.59469598325506
val,NIH ChestX-ray14,orientation,degrees,227,1.2275972979866905,1.191717524992384,1.1343115107683281,0.9086623140668877,2.641561513941594,3.0082871036216896,2.9227640899137564,,,
test,BUU AP,left_height,normalized,40,0.060187546970584684,0.04449547932811322,0.04449547932811322,0.034452810247468615,0.09973761732737924,0.1279266425405778,26.071950814245028,10.460115473352555,7.781881098618783,21.50274960210982
test,BUU AP,right_height,normalized,40,0.05570161736311989,0.040672717624263735,0.040672717624263735,0.03770838423661111,0.07621035807898764,0.11306605172037384,26.98108322579302,9.6904567181325,7.136404584782769,18.536246018363467
test,BUU AP,superior_width,normalized,40,0.02661988522182736,0.02337912558986981,0.02337912558986981,0.01898678186074816,0.04396630664343696,0.05728969451891434,12.174205880122441,8.610837582948523,7.821749981942299,18.99834029401752
test,BUU AP,inferior_width,normalized,40,0.025349602312110676,0.026051546700364532,0.026051546700364532,0.022784982617748153,0.05706362127007662,0.060609038235830894,-2.76905483412063,8.227788093412977,8.531211573257554,20.187403921647142
test,BUU AP,orientation,degrees,40,1.7796312292221388,1.4794100548488474,1.4794100548488474,1.0834047675486929,3.1102781458489503,3.4346366739823266,16.86985311583431,,,
test,Lumos AP,left_height,normalized,62,0.08119832928112954,0.0680460659465465,0.06464928435944105,0.04488876437272747,0.13960379380459745,0.1578066612389901,16.19770191212496,14.007493173095854,11.769217572370666,28.493398966112203
test,Lumos AP,right_height,normalized,62,0.08774166348054425,0.07048362334128115,0.06568059644760237,0.05005110268727517,0.1509915821261584,0.17472839301990895,19.669150839714685,15.186995489994857,12.256348201804723,28.60099180521983
test,Lumos AP,superior_width,normalized,62,0.025454904723692287,0.024929955094798048,0.025188505341383748,0.02116378967110996,0.05124620717170339,0.06866212580063077,2.0622730062927297,8.436340710795834,8.254443768731075,23.438439518835445
test,Lumos AP,inferior_width,normalized,62,0.02788859641059403,0.028887390451849012,0.029219689096983602,0.02459965339070063,0.05690434950494164,0.07752646895043683,-3.58137077445594,9.301815950923649,9.606743124127595,25.130730633933226
test,Lumos AP,orientation,degrees,62,1.7639820122806182,1.6493912793355305,1.5914789805668008,1.2121275135211818,3.570526479228535,5.318519143293799,6.496139538120094,,,
test,MICCAI-2019,left_height,normalized,624,0.11642751734879786,0.09653059808152052,0.09653059808152048,0.06721679563226332,0.20290719690340855,0.29465719887045627,17.089533230936645,10.274825455654812,8.431044080490208,23.784650509534618
test,MICCAI-2019,right_height,normalized,624,0.11118951937285251,0.09609118745386226,0.09609118745386223,0.06995710734973654,0.20807406257894037,0.27741661293954045,13.57891643398594,9.953438070998908,8.553575690852476,23.427226413826883
test,MICCAI-2019,superior_width,normalized,624,0.047450564959719825,0.04265958987912586,0.042659589879125846,0.036015636887368266,0.08778229520416793,0.11241704676099165,10.096771418129505,7.576230334380959,6.745145642204303,17.91663186259983
test,MICCAI-2019,inferior_width,normalized,624,0.05165245379317356,0.04569705238955438,0.045697052389554356,0.03776936365764304,0.0932544472455592,0.11270254543166701,11.529755057650828,8.37603084299853,7.3761104791621666,18.37285058504341
test,MICCAI-2019,orientation,degrees,624,2.317787516716539,1.9664657464463566,1.9664657464463557,1.3997779220341542,4.197564503962039,5.312491727049485,15.15763493143139,,,
