split,source_dataset,output,unit,samples,baseline_mae,model_mae,baseline_rmse,model_rmse,baseline_residual_r2,model_residual_r2,unweighted_model_mae,model_median_absolute_error,model_p90_absolute_error,model_p95_absolute_error,relative_mae_improvement_percent,baseline_within_5pct_reference_percent,model_within_5pct_reference_percent,baseline_within_10pct_reference_percent,model_within_10pct_reference_percent,baseline_mae_px,model_mae_px,baseline_rmse_px,model_rmse_px,model_p95_absolute_error_px,baseline_within_5px_percent,model_within_5px_percent,baseline_within_10px_percent,model_within_10px_percent,baseline_within_2deg_percent,model_within_2deg_percent,baseline_within_5deg_percent,model_within_5deg_percent
val,all,left_height,normalized,2084,0.08153408215376824,0.0699524782298532,0.12045866743601592,0.10049247395040888,-0.010415269901125734,0.2967805604572932,0.0750795637331675,0.0556427568201861,0.15780960708832356,0.2016712917175826,14.204616790893468,44.6213924963925,50.463300588300605,72.68876956376957,77.49940337440339,7.737373061948099,6.458461311291387,12.42068384741866,9.691128659948937,18.861525763164988,50.96575646575647,56.200036075036095,75.13290875790878,79.80964868464869,,,,
val,all,right_height,normalized,2084,0.08230656133375681,0.07101346061316605,0.12036072303187502,0.10206677141916211,-0.006553955020512925,0.27617056762744474,0.07722099387195833,0.05722542825824418,0.16483583695862783,0.21196105374041296,13.720778195066048,45.63540626040628,50.17485292485294,71.84720834720835,76.32504995004996,7.699020822980064,6.519359220409073,12.342912935019205,9.87962800651191,18.647078575750566,52.358280608280616,56.8370795870796,75.37624875124877,78.44205794205796,,,,
val,all,superior_width,normalized,2084,0.0439723500635802,0.04095654082005816,0.06280921116034513,0.05948721281344026,-0.00238699797570896,0.100842048769893,0.04488142797852195,0.03339788063205455,0.09658812018789481,0.11995587959353896,6.858421801794626,66.75879675879676,71.36856199356201,91.72746697746699,92.35511710511712,7.2536302119390905,6.822815657353997,11.034252886129186,10.743608316761517,20.529076244068573,54.10854423354425,58.05401542901545,76.01556776556778,78.45970695970698,,,,
val,all,inferior_width,normalized,2084,0.04700535342355232,0.044375425281054565,0.06590916081050817,0.06294717225218907,-0.0023977142984588085,0.08567424306513738,0.047468836248887425,0.03641035507031162,0.0994419214728648,0.12733216436408057,5.594954512521571,66.03664391164392,67.9441946941947,89.14869852369853,91.35765623265624,7.847521723996641,7.497603998718136,11.85496431249878,11.70543476766527,21.448678492029792,49.54138916638917,51.503760128760135,74.71689421689422,75.16769341769344,,,,
val,all,orientation,degrees,2084,2.1638843115210493,1.9121464836927655,5.3192335295663975,5.073998120126561,-0.000373111152382144,0.08974201189029452,2.2062592608130136,1.280497838201299,3.665998956110055,4.725360056765902,11.633608436826776,,,,,,,,,,,,,,66.65659340659342,72.87740037740039,94.15209790209789,96.38986013986013
test,all,left_height,normalized,2168,0.08630135744823679,0.07110664867253434,0.1266967886498073,0.10408020487154045,-0.00102889398638073,0.3244590566969161,0.0782318632085218,0.05522673063746567,0.16824719699131896,0.21753705850301283,17.606569844299578,44.719724927414454,51.03969411671005,68.38947345508186,76.5446962635519,8.863875962321233,7.283787163288774,13.502763970874623,11.017085410537032,21.597970836472104,47.51654505964019,50.39006210807273,67.81159448952785,75.45387672711429,,,,
test,all,right_height,normalized,2168,0.08253008901386176,0.07115277469024503,0.11840108869575311,0.1004091487262328,-0.001176844070385652,0.27997765379593453,0.07865507734370787,0.05777367607482631,0.16760031190883917,0.21745923314327034,13.785656188624484,44.10115086104946,49.2698726845878,70.66720742372603,76.37460195928327,8.627168207758288,7.311852265925142,12.96444117372143,10.828842999198283,22.112088076574516,47.41063582589415,50.9294606755978,70.4317552920281,75.37369378569282,,,,
test,all,superior_width,normalized,2168,0.04214787050473532,0.03965683525020282,0.05897068607391971,0.05526906002446252,-0.0031838779480588553,0.11880435912572307,0.04519561934949905,0.03531652350942882,0.0946693567059647,0.1194011502748827,5.910228025049649,68.91035513657438,71.76520706880436,91.3327296462859,93.03478141714501,7.441630813599601,7.0090169650492475,11.176825061594194,10.482908666006944,22.322044962642938,50.47608795786004,51.36096251245937,75.33770380191193,77.92444347460041,,,,
test,all,inferior_width,normalized,2168,0.043623067907331926,0.04141218987133564,0.061187328683258296,0.058114391567506765,-0.000213607028260121,0.09772865972976796,0.04657583623306091,0.03731301160459871,0.09523609040229122,0.11818828097784737,5.068139729862274,66.87245394500344,68.05821399079488,91.58506482921017,93.0995293603333,7.804992325944032,7.513112130258024,11.765074577278407,11.327299622771912,23.113031218872433,50.19519118281794,50.45379836108952,71.93939108533507,72.28922473792102,,,,
test,all,orientation,degrees,2168,2.0617154009802494,1.8318655643170703,4.46623340660568,4.131189819118895,-3.0172646468651365e-05,0.14438069881796745,1.9953883123829788,1.2314478651238545,3.6176980117643973,4.7303681382456775,11.148475514801717,,,,,,,,,,,,,,66.68220423012792,71.33259319413352,94.68879281831961,95.86702399081685
