split,source_dataset,output,unit,samples,baseline_mae,model_mae,baseline_rmse,model_rmse,baseline_residual_r2,model_residual_r2,unweighted_model_mae,model_median_absolute_error,model_p90_absolute_error,model_p95_absolute_error,relative_mae_improvement_percent,baseline_within_5pct_reference_percent,model_within_5pct_reference_percent,baseline_within_10pct_reference_percent,model_within_10pct_reference_percent,baseline_mae_px,model_mae_px,baseline_rmse_px,model_rmse_px,model_p95_absolute_error_px,baseline_within_5px_percent,model_within_5px_percent,baseline_within_10px_percent,model_within_10px_percent,baseline_within_2deg_percent,model_within_2deg_percent,baseline_within_5deg_percent,model_within_5deg_percent
val,BUU AP,left_height,normalized,40,0.07501458543356884,0.053483816571525254,0.13090515988833104,0.08393397626045328,-0.2228310498887982,0.4972772694836547,0.053483816571525254,0.0371783700839678,0.09098354424404458,0.12585989711935336,28.70211004646654,52.5,70.0,82.5,92.5,12.493723501728436,8.90286215043319,19.71601666415624,12.688585299021009,19.424771378832848,27.500000000000004,40.0,62.5,70.0,,,,
val,BUU AP,right_height,normalized,40,0.06424570944343214,0.049396861124160515,0.12419317715472257,0.08315429728945702,-0.14188373943776966,0.4880874117742151,0.049396861124160515,0.029423725767040068,0.0843055082200308,0.132484310102584,23.11259140557226,70.0,70.0,87.5,90.0,10.676249358369123,8.391664256257615,18.52266231816035,12.809110084817892,23.583249522390556,42.5,50.0,72.5,70.0,,,,
val,BUU AP,superior_width,normalized,40,0.025060331569595466,0.024214433506055733,0.03450025924249301,0.03497894967295933,-0.002887338251238658,-0.03091049408247537,0.024214433506055733,0.017225841047207136,0.04944880492438703,0.07644732355344284,3.375446414946969,85.0,90.0,100.0,97.5,9.176173149972518,8.923432233227967,12.946265022208427,13.456632191345026,25.444907505391377,37.5,50.0,67.5,67.5,,,,
val,BUU AP,inferior_width,normalized,40,0.029587553182450883,0.03059659527973279,0.039307091718548674,0.042554039985493036,-0.0014911814734028805,-0.17378052600931548,0.03059659527973279,0.025287896396751372,0.05159633704961525,0.06185310485506742,-3.410360062759074,90.0,87.5,95.0,97.5,10.704790242350342,11.090472643698856,15.239634188622281,16.56445388857841,24.304755749131424,25.0,25.0,67.5,60.0,,,,
val,BUU AP,orientation,degrees,40,1.3360824542744751,1.0990768827953694,2.008804450514059,1.5557486337814694,-0.03930340901201723,0.3766300189726699,1.0990768827953694,0.8749319453577158,2.2642852290454814,2.523382425297903,17.738843191964932,,,,,,,,,,,,,,80.0,87.5,97.5,97.5
val,Lumos AP,left_height,normalized,62,0.07686954991902872,0.06551719484241375,0.09835902826284533,0.08386802801038473,-0.002314464923877102,0.27126705786210714,0.06858024296023453,0.053542821270104776,0.14733559918956496,0.16324889199953382,14.768338163255912,41.72619047619048,52.767857142857146,71.94940476190477,73.03571428571428,12.954693116584574,11.014313668414918,16.563671459198723,14.117460995176653,28.633410793254516,28.42261904761905,27.500000000000004,45.37202380952382,56.47321428571429,,,,
val,Lumos AP,right_height,normalized,62,0.08237364232645249,0.0664343684457324,0.10234004722888594,0.08589099194138969,-6.325476979274214e-05,0.2955803196576733,0.07087554508163728,0.05116126509748918,0.14979840765563623,0.17102017836250857,19.349968546433374,33.31845238095239,55.8779761904762,68.82440476190477,74.80654761904762,13.917331841564799,11.026060407948659,17.127579746159704,14.200055026447284,29.271801569067335,23.36309523809524,30.446428571428573,40.00000000000001,60.788690476190474,,,,
val,Lumos AP,superior_width,normalized,62,0.042762170448580696,0.04399796620177827,0.053373537949116145,0.05514884029399278,-0.004211437499886728,-0.0721262974627932,0.04124148844685333,0.02745763355346724,0.09286407890009359,0.1074569149869556,-2.889927569704518,56.57738095238096,59.70238095238096,94.9404761904762,90.77380952380953,13.551965622412762,14.030936875724723,17.025023796725687,17.661479483028355,35.02493170931587,31.60714285714286,25.34226190476191,47.72321428571429,50.32738095238096,,,,
val,Lumos AP,inferior_width,normalized,62,0.0480042228012487,0.047146510859151315,0.059589122022019214,0.058760802429450004,-0.005950765609448849,0.021821331251775766,0.0448375600834084,0.037805563933559404,0.10550547088161864,0.11047709925365382,1.7867426906348587,55.16369047619049,61.7857142857143,87.96130952380953,87.96130952380953,15.232259783930083,14.945229239222607,18.965198633687,18.60925951384876,31.76366049921775,17.05357142857143,17.946428571428573,44.3154761904762,41.86011904761905,,,,
val,Lumos AP,orientation,degrees,62,1.0963953890790246,1.0520881702916245,1.3807905434297443,1.3283257432009514,-0.0011450856006562926,0.0734889769976439,1.0852482792446037,1.017615755423975,2.0698081158896584,2.5511760641953805,4.041171572658498,,,,,,,,,,,,,,84.37500000000001,84.41964285714286,100.0,100.0
val,MICCAI-2019,left_height,normalized,624,0.09147584647510597,0.08392092710650274,0.13050085954613508,0.11664842757726623,-0.000834193093566693,0.2003624721447954,0.08392092710650272,0.0601984784053,0.18511620558397998,0.24203241579899726,8.258922611510574,39.90384615384616,41.346153846153854,66.50641025641026,69.39102564102565,7.746801432817998,7.089383076898524,10.379672313358743,9.319021812966254,19.574212249110882,43.750000000000014,47.435897435897445,71.9551282051282,76.12179487179488,,,,
val,MICCAI-2019,right_height,normalized,624,0.09719088469436238,0.08848276732155,0.13488700324769196,0.11984739180729896,-0.0016774776889341148,0.20923967577429825,0.08848276732154996,0.06651357345606229,0.1825018562544871,0.23967150254776912,8.959808731237427,36.37820512820514,38.78205128205129,62.500000000000014,64.90384615384616,8.442093986458863,7.6251698443118,11.443601501079925,10.047674069893318,19.343109921301675,41.82692307692308,43.42948717948719,68.91025641025641,69.87179487179486,,,,
val,MICCAI-2019,superior_width,normalized,624,0.049260180592177266,0.04301529371745464,0.0654291712150742,0.057674674442320197,-0.005230736396926394,0.21892412424258834,0.04301529371745463,0.03225274137654319,0.09476402078500168,0.11698990342253719,12.677352782004096,62.01923076923078,69.39102564102565,88.62179487179488,91.34615384615385,7.682540076680579,6.6300898337821526,10.21667171283849,8.884160301312688,18.598573402309498,43.10897435897437,49.198717948717956,72.91666666666669,79.00641025641026,,,,
val,MICCAI-2019,inferior_width,normalized,624,0.053976290946158315,0.04799009694127827,0.07215357262182169,0.06471454987549159,-0.0033544094500368438,0.19287173953020276,0.04799009694127825,0.03622276127804109,0.10920153957565662,0.1380565378891846,11.090413772319616,58.17307692307694,62.98076923076924,84.77564102564104,88.46153846153847,8.38903459964295,7.3994108074465235,11.369610527915425,10.073903362025089,19.822453967860874,42.14743589743591,46.95512820512822,67.94871794871796,73.71794871794873,,,,
val,MICCAI-2019,orientation,degrees,624,2.355504099205625,1.9416750732208061,3.1004510796682663,2.631259695166675,-0.0005682926816703571,0.27934999070585875,1.941675073220805,1.4993270289348288,3.9515677374306537,4.882516968139388,17.56859714760757,,,,,,,,,,,,,,50.96153846153847,62.82051282051283,91.02564102564102,95.1923076923077
val,Mendeley PA,left_height,normalized,1131,0.08692819455672919,0.07499495064710948,0.12458074967868567,0.1081144897847581,-0.0004095029321575794,0.24656856721851628,0.07499495064710947,0.05498939090514371,0.15480900608048948,0.19261845293623908,13.727702468077942,41.20247568523432,45.26967285587977,69.31918656056588,73.38638373121134,6.043891657262712,5.247783336638916,9.74820316448964,8.571770745163871,18.042346056081815,60.83112290008844,65.78249336870027,81.07869142351902,84.61538461538464,,,,
val,Mendeley PA,right_height,normalized,1131,0.08850105209795847,0.07607810366913634,0.12329720910682475,0.1091811442345281,-0.00019228862307696382,0.21571791936545737,0.07607810366913631,0.05594404319088486,0.1624141441989129,0.21005121972832702,14.037062988891524,39.87621573828471,45.62334217506633,68.43501326259948,75.06631299734748,6.155958362320446,5.2836699958823115,9.697464220757753,8.519211257348156,17.57688237401144,60.65428824049515,65.25198938992044,79.84084880636605,83.99646330680814,,,,
val,Mendeley PA,superior_width,normalized,1131,0.052090527923504784,0.048309327956944495,0.07507024785328355,0.07148647330896224,-0.0032465101730321244,0.09025494690253844,0.048309327956944474,0.03600055507290205,0.0991585157406453,0.1237023266272713,7.258901219263897,60.74270557029179,64.98673740053053,88.41732979664015,90.53934571175952,6.267876471139965,5.812131062642212,10.610430792466495,10.028713767154162,21.224302022314376,64.27939876215738,65.69407603890365,80.28293545534926,82.49336870026525,,,,
val,Mendeley PA,inferior_width,normalized,1131,0.05266248896083788,0.049358123984448075,0.0754329550767046,0.07230420104803705,-0.004291877924951448,0.07729097043139854,0.04935812398444807,0.03767131192483661,0.09878816142103025,0.12717577871853938,6.2746084387448455,59.77011494252875,62.59946949602123,88.0636604774536,90.36251105216625,6.220140273165033,5.790837811833399,10.108973069742177,9.600219686830455,21.48604561472729,62.68788682581787,64.98673740053053,80.63660477453584,82.49336870026528,,,,
