feature,importance
x_m2_left_height_norm,0.029182909056544304
x_m2_right_height_norm,0.04164548218250275
x_m2_superior_width_norm,0.022664440795779228
x_m2_inferior_width_norm,0.0250154510140419
x_m2_orientation_relative_deg,0.02292710542678833
x_m2_center_dx_norm,0.027096614241600037
x_m2_center_dy_norm,0.03262234106659889
x_m1_left_height_norm,0.04788132756948471
x_m1_right_height_norm,0.04216958209872246
x_m1_superior_width_norm,0.02622116357088089
x_m1_inferior_width_norm,0.023188795894384384
x_m1_orientation_relative_deg,0.024670708924531937
x_m1_center_dx_norm,0.043774429708719254
x_m1_center_dy_norm,0.06501135230064392
x_p1_left_height_norm,0.05198241397738457
x_p1_right_height_norm,0.06621857732534409
x_p1_superior_width_norm,0.02357073873281479
x_p1_inferior_width_norm,0.021441131830215454
x_p1_orientation_relative_deg,0.02333350107073784
x_p1_center_dx_norm,0.036779314279556274
x_p1_center_dy_norm,0.08606438338756561
x_p2_left_height_norm,0.037683118134737015
x_p2_right_height_norm,0.035636693239212036
x_p2_superior_width_norm,0.02106444723904133
x_p2_inferior_width_norm,0.022106386721134186
x_p2_orientation_relative_deg,0.026275450363755226
x_p2_center_dx_norm,0.0353044830262661
x_p2_center_dy_norm,0.03846769034862518
