split,source_dataset,output,unit,samples,baseline_mae,model_mae,baseline_rmse,model_rmse,baseline_r2,model_r2,model_median_absolute_error,model_p90_absolute_error,model_p95_absolute_error,baseline_within_5pct_reference_percent,model_within_5pct_reference_percent,baseline_within_10pct_reference_percent,model_within_10pct_reference_percent,relative_mae_improvement_percent
val,BUU AP,mean_height,fraction_of_context_median_height,40,0.06585554458734372,0.04617576870846076,0.12295681249066394,0.07776531502805283,-0.1859351290214628,0.5256186432616656,0.029611706232245294,0.07801299021701003,0.12528411061736683,75.0,75.0,85.0,90.0,29.883248255250273
val,Lumos AP,mean_height,fraction_of_context_median_height,62,0.07939649575839802,0.0647122412883164,0.09937185656089378,0.08339727963300264,-0.025969874150157057,0.27737735015195164,0.052304005695981814,0.15346251755663398,0.17014411731453996,40.68452380952382,55.35714285714286,70.38690476190477,77.26190476190477,18.494839513780956
val,MICCAI-2019,mean_height,fraction_of_context_median_height,624,0.08077483548776306,0.07560539448631563,0.11271614303839904,0.10089047891343969,0.12001510540916904,0.29497690224510287,0.05837327280452953,0.15884542365114002,0.20166658914346802,43.42948717948719,44.39102564102565,72.43589743589745,74.35897435897438,6.399816193040175
val,Mendeley PA,mean_height,fraction_of_context_median_height,1131,0.07781826267148377,0.06698209697949163,0.11299612061994845,0.09866043058623303,-0.021002785467168605,0.22163038729155893,0.04985889497274465,0.1377735214022966,0.17189333054275469,44.56233421750664,50.22104332449162,75.24314765694076,78.51458885941646,13.924964809016501
val,NIH ChestX-ray14,mean_height,fraction_of_context_median_height,227,0.06066465998316652,0.05728560458382416,0.08066948262208126,0.07429387474474992,0.06783688003846622,0.20935889031526855,0.046676436608735106,0.10639928320113166,0.15061691717988898,52.48084291187738,54.932950191570875,78.8095238095238,82.9912424740011,5.570055779229616
test,BUU AP,mean_height,fraction_of_context_median_height,40,0.050934691109776685,0.03741309872738002,0.07484994625476456,0.04878803601744936,-0.5714197247709989,0.3323699346061667,0.03131738328100131,0.07041567815645956,0.09838988874146658,67.5,77.5,85.0,95.0,26.546921337471804
test,Lumos AP,mean_height,fraction_of_context_median_height,62,0.08239485869328848,0.06759353879346212,0.10699025037429946,0.08916130682978823,-0.10576515908930517,0.23205990220865702,0.04419617682475574,0.14421112388236612,0.1663622693423105,44.89583333333333,57.8125,66.25,73.33333333333333,17.963887716494146
test,MICCAI-2019,mean_height,fraction_of_context_median_height,624,0.09812900677542907,0.08269322721812564,0.14448111063679378,0.11922781414469151,-0.16530944341826515,0.20645001665972784,0.05728435221770367,0.19079233751340646,0.23916622988536304,42.46794871794874,45.35256410256411,66.8269230769231,72.27564102564105,15.73008844635373
test,Mendeley PA,mean_height,fraction_of_context_median_height,1215,0.07648849475945256,0.06570706926050268,0.11043526902732409,0.0942272744510307,-0.06012671283789772,0.2282165713639024,0.048970746073916605,0.13535235215766384,0.17306228587141786,46.21852210100849,50.92979187579913,74.91185966685059,79.04318156133039,14.095486560241786
test,NIH ChestX-ray14,mean_height,fraction_of_context_median_height,227,0.059605222682291285,0.05695891374124983,0.07919298423429232,0.07365307613236433,0.03536837769361001,0.16560852742916043,0.04174601077227802,0.11814684384564847,0.1459893853646607,54.45173961840629,54.01034151034151,80.40369301480412,82.00171022393245,4.439726624539013
