output,feature,importance
left_height,x_m2_left_height_norm,0.02863478660583496
left_height,x_m2_right_height_norm,0.06390165537595749
left_height,x_m2_superior_width_norm,0.0
left_height,x_m2_inferior_width_norm,0.043974798172712326
left_height,x_m2_orientation_relative_deg,0.0010262411087751389
left_height,x_m2_center_dx_norm,0.04004344716668129
left_height,x_m2_center_dy_norm,0.09363285452127457
left_height,x_m1_left_height_norm,0.02736431173980236
left_height,x_m1_right_height_norm,0.07121533155441284
left_height,x_m1_superior_width_norm,0.03319215774536133
left_height,x_m1_inferior_width_norm,0.0413324199616909
left_height,x_m1_orientation_relative_deg,0.038972269743680954
left_height,x_m1_center_dx_norm,0.0
left_height,x_m1_center_dy_norm,0.08993135392665863
left_height,x_p1_left_height_norm,0.06646544486284256
left_height,x_p1_right_height_norm,0.039434753358364105
left_height,x_p1_superior_width_norm,0.02047296054661274
left_height,x_p1_inferior_width_norm,0.03914433717727661
left_height,x_p1_orientation_relative_deg,0.0
left_height,x_p1_center_dx_norm,0.004981265403330326
left_height,x_p1_center_dy_norm,0.09555386006832123
left_height,x_p2_left_height_norm,0.04006647691130638
left_height,x_p2_right_height_norm,0.03897934779524803
left_height,x_p2_superior_width_norm,0.026693269610404968
left_height,x_p2_inferior_width_norm,0.046848323196172714
left_height,x_p2_orientation_relative_deg,0.0059441751800477505
left_height,x_p2_center_dx_norm,0.0
left_height,x_p2_center_dy_norm,0.0021941945888102055
right_height,x_m2_left_height_norm,0.08480224013328552
right_height,x_m2_right_height_norm,0.08942286670207977
right_height,x_m2_superior_width_norm,0.0
right_height,x_m2_inferior_width_norm,0.0
right_height,x_m2_orientation_relative_deg,0.0
right_height,x_m2_center_dx_norm,0.013827252201735973
right_height,x_m2_center_dy_norm,0.0
right_height,x_m1_left_height_norm,0.043347977101802826
right_height,x_m1_right_height_norm,0.1330544799566269
right_height,x_m1_superior_width_norm,0.0
right_height,x_m1_inferior_width_norm,0.10870400816202164
right_height,x_m1_orientation_relative_deg,0.06270147114992142
right_height,x_m1_center_dx_norm,0.0
right_height,x_m1_center_dy_norm,0.08328504860401154
right_height,x_p1_left_height_norm,0.07146042585372925
right_height,x_p1_right_height_norm,0.05403466150164604
right_height,x_p1_superior_width_norm,0.0
right_height,x_p1_inferior_width_norm,0.051091063767671585
right_height,x_p1_orientation_relative_deg,0.0
right_height,x_p1_center_dx_norm,0.0
right_height,x_p1_center_dy_norm,0.0
right_height,x_p2_left_height_norm,0.038040075451135635
right_height,x_p2_right_height_norm,0.0
right_height,x_p2_superior_width_norm,0.06719693541526794
right_height,x_p2_inferior_width_norm,0.06559250503778458
right_height,x_p2_orientation_relative_deg,0.0
right_height,x_p2_center_dx_norm,0.02447933331131935
right_height,x_p2_center_dy_norm,0.00895970780402422
superior_width,x_m2_left_height_norm,0.04291430860757828
superior_width,x_m2_right_height_norm,0.005550531670451164
superior_width,x_m2_superior_width_norm,0.06413240730762482
superior_width,x_m2_inferior_width_norm,0.03139931336045265
superior_width,x_m2_orientation_relative_deg,0.05489106476306915
superior_width,x_m2_center_dx_norm,0.03152212128043175
superior_width,x_m2_center_dy_norm,0.04357307031750679
superior_width,x_m1_left_height_norm,0.0
superior_width,x_m1_right_height_norm,0.05874394252896309
superior_width,x_m1_superior_width_norm,0.06859134137630463
superior_width,x_m1_inferior_width_norm,0.09588385373353958
superior_width,x_m1_orientation_relative_deg,0.03158114477992058
superior_width,x_m1_center_dx_norm,0.04914389178156853
superior_width,x_m1_center_dy_norm,0.04784132540225983
superior_width,x_p1_left_height_norm,0.0
superior_width,x_p1_right_height_norm,0.04281942918896675
superior_width,x_p1_superior_width_norm,0.05044526979327202
superior_width,x_p1_inferior_width_norm,0.04397089406847954
superior_width,x_p1_orientation_relative_deg,0.0
superior_width,x_p1_center_dx_norm,0.03269018977880478
superior_width,x_p1_center_dy_norm,0.0
