split,source_dataset,output,unit,samples,baseline_mae,model_mae,unweighted_model_mae,model_median_absolute_error,model_p90_absolute_error,model_p95_absolute_error,relative_mae_improvement_percent,baseline_mae_px,model_mae_px,model_p95_absolute_error_px
val,all,left_height,normalized,200,0.08325758901365093,0.07786343181824826,0.10069768084619994,0.06673632280330064,0.22408735824540307,0.2803793175247257,6.478877492498912,11.178557242683892,10.239370819707675,22.983063072166185
val,all,right_height,normalized,200,0.07170380262994396,0.06948020738657149,0.08835557759956358,0.06181385860343647,0.19650750204482195,0.2558676126934284,3.1010841291754345,9.607649709282494,9.25577601552147,21.723740394228045
val,all,superior_width,normalized,200,0.030708645356084006,0.030490600584736332,0.04380708096147747,0.02906775849984789,0.10058900008883266,0.12284121907341301,0.7100436011400767,8.248986454959143,8.209867600092435,21.408925672537684
val,all,inferior_width,normalized,200,0.03624867028226619,0.03568796848402226,0.05350003781376043,0.03620807640133501,0.11137346133639,0.15118210476516433,1.5468203216222338,9.720481259816864,9.409611954329192,22.67542198996205
val,all,orientation,degrees,200,1.8739514656865448,1.5857980657458555,3.0521905625687213,1.2381356981669072,4.0622347937872565,5.48075103634317,15.376780307120754,,,
test,all,left_height,normalized,200,0.06435154788112646,0.06273046624241992,0.07323893408865244,0.050849578888106484,0.15063333558621939,0.22578978944866512,2.519102790971072,9.80613163117025,9.630295887156256,25.989125990887718
test,all,right_height,normalized,200,0.06058893055432703,0.05910728486814597,0.07254495671058006,0.05754761369222723,0.15534001494728916,0.1724823706311721,2.445406566225069,9.15673080047928,8.914661756213114,24.918813797916798
test,all,superior_width,normalized,200,0.03196891924931003,0.030443990749757288,0.04469849560948397,0.03416612941710032,0.09588777249978485,0.11298170063511351,4.770034569078068,8.375655740997408,7.967825671456685,21.641244824251874
test,all,inferior_width,normalized,200,0.030087094420157834,0.02956171601669982,0.043490996576869015,0.03297458396824378,0.09667654593100447,0.11604217403853417,1.7461918925146158,8.037664151047638,7.834896167511009,28.73689563897264
test,all,orientation,degrees,200,1.7718131935890684,1.4951548970249644,1.5866217002606497,1.2535491983435634,3.3586902586528367,4.12098442028688,15.614416777408227,,,
